"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Douglas County, Wisconsin",192.8,46475,43601,13.9,40.6,2.28,47.6,7,6.150455775
"Clarke County, Iowa",198.5,45413,9259,14.4,39.6,2.43,53.8,5,7.290533188
"Susquehanna County, Pennsylvania",163.6,49552,41666,12.8,46.4,2.41,55.5,7.7,4.344746163
"Morris County, New Jersey",150.3,100511,499509,5,42,2.72,56.7,6.3,3.635690867
"Castro County, Texas",163.3,42966,7656,19.4,34.6,3.14,52.5,4.7,7.665301346
"Webster County, Georgia",143.1,33893,2648,22.8,41,2.56,44.6,5.8,2.646502836
"Tyler County, West Virginia",199.1,41019,8975,15.8,46.2,2.48,53.5,10.9,1.988950276
"Leon County, Florida",155.8,45463,286272,23.3,30,2.43,37.8,10.6,3.782242355
"Greene County, New York",187.3,52597,47625,11.1,45.2,2.55,48.2,9.1,4.626911005
"Herkimer County, New York",150.9,44148,63100,16.5,42.9,2.4,50.1,8.7,4.741223308
"Washington County, Texas",158,55139,34765,15,42,2.68,48.3,5.1,5.054495913
"Suffolk County, Massachusetts",178.6,54280,778121,21.5,32.2,2.39,30.4,8.7,4.178438278
"El Paso County, Colorado",148.5,59286,674471,12.2,33.6,2.6,53.8,8.4,6.187072813
"San Luis Obispo County, California",149.4,61775,281401,14.5,39.3,2.51,48.2,6.6,4.076692166
"Williamson County, Tennessee",139,97936,211672,5.6,38.9,2.86,66,4.2,4.474464442
"Guernsey County, Ohio",215.8,41940,39258,17.2,42.2,2.51,50.8,11.7,3.383937884
"Crenshaw County, Alabama",195.6,34445,13963,21.2,41.3,2.56,47.7,9.7,8.330673476
"Koochiching County, Minnesota",173.3,44113,12841,15.3,47.4,2.18,55,7.8,3.367670365
"Nuckolls County, Nebraska",154.3,43249,4329,13.4,49.2,2.08,60.7,2.9,7.142857143
"Delta County, Colorado",163.5,45283,29979,15.6,47.3,2.41,56.3,11.7,8.005224855
"Prowers County, Colorado",202.4,39184,11954,20.9,37.6,2.44,54.6,9.7,6.036139946
"Northampton County, Pennsylvania",172.7,61510,300813,10,41.8,2.56,51.4,7.3,4.239802406
"Sebastian County, Arkansas",187.5,39907,127780,22.1,36.9,2.53,50.3,6.1,6.387886081
"Winneshiek County, Iowa",138.4,55984,20709,9.4,40.6,2.24,54.4,3,3.507692308
"Kalkaska County, Michigan",200.7,40709,17260,17.4,44.4,2.38,54.4,10.4,4.369071572
"McKean County, Pennsylvania",170.4,44723,42412,16.6,42.4,2.29,45.4,9.1,6.282490875
"Union County, North Carolina",158.6,64381,222742,10.8,37.2,2.99,59.4,7.7,5.847110572
"Huntington County, Indiana",195.8,49832,36630,10.7,39.8,2.44,55.1,7.4,7.373761208
"Jefferson Davis Parish, Louisiana",208,37968,31439,21.7,38.4,2.65,46.6,9.2,7.155147691
"Lincoln County, Wyoming",143.3,63575,18722,9,38.1,2.68,61.4,6.4,6.394269037
"Powell County, Montana",161,40072,6840,20.2,45.4,2.25,43.3,2.2,6.109979633
"Somerset County, Pennsylvania",159.4,45706,75522,13.5,45.3,2.42,54,6.9,5.627676205
"Orange County, California",143.8,76061,3169776,12.9,37.1,3.04,50.1,7.6,4.827807522
"Shelby County, Indiana",184.1,54831,44478,11.8,41,2.54,51.6,8.3,6.002219308
"Greene County, Illinois",197.6,39738,13241,16.2,42.6,2.43,51.6,9.4,5.104572847
"Casey County, Kentucky",254.3,29344,15808,30.6,42.1,2.44,58.7,9,5.148741419
"Lawrence County, Pennsylvania",186.1,44903,88082,13.2,44.4,2.38,50.7,7,4.727253413
"Franklin County, Georgia",198.3,38055,22311,24.4,40.9,2.54,52.6,8.4,6.796906797
"Oldham County, Texas",181.3,54458,2069,15.6,32.4,2.52,53.7,7.4,8.831908832
"Clay County, Indiana",186.4,44385,26503,14.5,40.4,2.54,57.8,7.8,8.386023295
"Clarke County, Alabama",194,36620,24675,24.9,41.1,2.57,45.5,19.4,2.570564516
"Wirt County, West Virginia",185.8,38600,5880,20.3,45,2.4,52.2,8.4,5.968928863
"Grays Harbor County, Washington",194.6,43205,71122,19.6,42.7,2.51,47.5,14.3,5.713875529
"Warren County, New Jersey",175.1,71294,106869,8.3,42.6,2.52,54.5,9,4.839230894
"Dallas County, Arkansas",250,34018,7604,21,43.4,2.26,52.3,8.3,1.704199635
"Dawson County, Montana",178.3,50540,9625,11.7,41.1,2.24,59.5,2,1.750547046
"Louisa County, Virginia",191,60121,34602,11.5,43.7,2.64,55.1,8.1,5.015546843
"Cheyenne County, Colorado",124.5,52273,1829,13.4,37,2.63,53.7,9.3,5.299539171
"Box Elder County, Utah",137.3,56313,52097,11.6,32,3.08,63.7,6.3,8.779499824
"Kane County, Utah",129,48456,7131,11.8,43.6,2.55,55.9,7,4.954367666
"Coffee County, Tennessee",194,45235,54277,16.8,39.7,2.49,53.8,8.8,4.540620142
"Nash County, North Carolina",189,43348,93919,18.2,41,2.52,45.3,11.9,6.201122458
"Hardin County, Kentucky",202.2,50407,106439,14.3,35.7,2.58,52.8,8.2,5.822489804
"Sierra County, California",158,47293,2967,13.8,54.5,2.38,52.4,8,2.073732719
"Rock County, Minnesota",147,55352,9600,9.6,41.1,2.37,61,3.7,11.04133961
"Ottawa County, Ohio",185.3,50345,40877,10.1,47.3,2.33,57.1,5.5,4.504504505
"Itawamba County, Mississippi",193.2,38366,23609,17.2,39.3,2.54,51.9,9.3,5.256362966
"Queens County, New York",138.8,56866,2339150,15.4,37.7,2.91,45.3,8.6,4.84491139
"Power County, Idaho",114.3,48048,7648,15.7,34.2,2.99,55.5,9.4,12.93684856
"Edgefield County, South Carolina",157.8,44129,26514,17.5,42.1,2.6,45.6,8.9,3.616566206
"Calhoun County, West Virginia",226.5,32162,7470,21.8,47,2.44,55.7,18.1,4.780114723
"Isle of Wight County, Virginia",200.6,64350,36314,10.2,44.5,2.57,58.1,8.3,3.667228197
"Portage County, Wisconsin",155.1,52075,70408,15.4,36.2,2.41,49.6,7.2,4.146396651
"Yalobusha County, Mississippi",235.8,34494,12447,23.4,41.5,2.39,49.5,5.7,5.540488183
"Nantucket County, Massachusetts",146.9,82596,10925,7.1,39.5,2.62,49.2,3,4.179364388
"Broward County, Florida",157.6,51485,1896425,14.5,40,2.73,43.1,10,4.663810807
"Westmoreland County, Pennsylvania",175.3,53536,357956,10.1,46.1,2.33,53.7,5.6,3.999144854
"Cole County, Missouri",168.6,51885,76720,13.3,38,2.44,49.3,4.9,6.328460877
"Clearwater County, Minnesota",184.9,43674,8803,17.8,42.5,2.48,57.1,7.4,7.495429616
"Osage County, Oklahoma",173.6,48014,47887,16.6,41.9,2.55,54.2,7.1,4.078719282
"Stoddard County, Missouri",206.6,38329,29862,19,42,2.43,53.7,9.1,7.254779066
