"ID","price","carat","depth","table","continent"
93,2757,0.7,61.6,56,0
38618,489,0.3,61.5,57,1
38665,1040,0.42,62.8,58,1
42420,1312,0.35,60.9,55,0
385,2811,1,65.7,59,0
50257,2235,0.69,61.2,65.4,1
9216,4555,1.18,61.7,58,1
8041,581,0.39,63.3,56,0
34393,863,0.34,61.3,55,1
22964,11011,2.01,62.9,54,0
37925,485,0.23,61,62,1
14032,5703,1.01,63.1,54,0
3015,3306,0.76,62,57,1
46794,1806,0.5,62.1,61,1
50335,2242,0.55,62.4,55,1
10425,4783,1.24,60.1,57,1
30062,720,0.3,61.8,56,1
34501,867,0.42,59.2,61,1
14221,5763,1.14,62.2,54,0
49677,2143,0.6,63,55,1
3666,3443,1.09,64.6,58,1
4393,571,0.31,62.6,56,1
4620,3664,0.87,60.2,60,1
28883,684,0.32,63.2,55,1
44421,1588,0.51,61,56,1
23327,11370,1.53,62,56,1
417,556,0.32,61.4,58,1
50809,2307,0.78,61.5,59,1
6183,3993,0.97,59.9,59,1
1787,3050,0.76,61.3,55,0
49355,2098,0.71,59,58,1
29821,709,0.3,61.7,60,0
33870,844,0.3,62,56,0
1428,2972,0.9,63.1,60,1
24339,12606,1.5,65.4,53,1
34052,851,0.42,60.9,57,1
26117,15393,2.06,58.4,55,0
3300,3368,0.9,62.4,57,0
38369,1023,0.53,63.8,57,0
50929,2319,0.71,60.2,60,0
36317,936,0.32,60.2,60,1
43701,1436,0.5,61.5,61,1
30056,719,0.41,61.3,58,1
16073,6418,1.02,62.8,57,0
16332,6533,1.01,62.2,60,1
39590,1083,0.54,59.5,60,1
7276,4200,1,60.5,59,0
43827,1443,0.51,60.3,56,1
33199,819,0.3,62.9,55,1
203,2777,0.7,60.5,58,0
15824,6332,1.26,62.2,58,1
29819,709,0.3,63.3,59,1
11844,5100,1.31,61.8,59,0
23135,11156,1.66,62.3,54,1
3456,3389,0.73,60.2,55,0
15220,6110,1.12,61.8,55,0
25498,14292,1.71,61.4,56,1
2803,3262,0.9,59,61,1
3642,3436,0.79,57.7,58,1
52002,2444,0.72,62.5,58,0
28438,670,0.43,62.2,54,1
11857,5103,1.36,60.1,56,0
38108,1013,0.36,61.8,58,1
23253,11262,1.4,62.6,58,1
34987,880,0.34,62.6,58,1
